Platform
2600
X360
PS
PSP
PS2
PS3
Wii
PS4
X360
X360
PS2
Wii
DS
X360
XB
3DS
PS2
PS2
PS2
PSP
X360
PS4
X360
PS2
PS2
Wii
Wii
PS
PSP
PSP
GBA
PS
PS
GC
PS3
PS2
Wii
Wii
2600
2600
PS3
XB
PS2
X360
PS3
PS3
PS2
X360
PS3
X360
Wii
XB
DS
PS3
PS3
PSP
Wii
3DS
PS2
PS2
PS2
X360
PS2
PS2
PS2
PS3
XOne
NES
WiiU
X360
PS3
Wii
XB
3DS
PS3
NES
PS3
GC
GBA
DS
PS3
Wii
PC
Wii
PS
X360
X360
PS3
