"sale_id","game_id","platform_id","publisher_id","na_sales","eu_sales","jp_sales","other_sales","global_sales","created_at"
233,70,13,8,"0.51","0.51","0.01","0.13","1.17","2025-05-04 16:28:08.174447"
234,71,13,8,"0.51","0.51","0.01","0.13","1.17","2025-05-04 16:28:08.174447"
235,72,12,13,"0.26","0.75","0","0.14","1.14","2025-05-04 16:28:08.174447"
180,73,10,8,"1.5","1.28","0.05","0.46","3.28","2025-05-04 16:28:08.174447"
236,74,8,17,"0.33","0.37","0.37","0.06","1.13","2025-05-04 16:28:08.174447"
237,75,3,9,"0.5","0.37","0.1","0.16","1.12","2025-05-04 16:28:08.174447"
238,76,11,4,"0","0","1.1","0","1.1","2025-05-04 16:28:08.174447"
228,77,13,11,"0.63","0.51","0","0.11","1.26","2025-05-04 16:28:08.174447"
239,78,14,17,"0.54","0.21","0.31","0.04","1.1","2025-05-04 16:28:08.174447"
240,79,6,14,"0.78","0.29","0","0.02","1.09","2025-05-04 16:28:08.174447"
241,80,17,8,"0.55","0.43","0","0.11","1.08","2025-05-04 16:28:08.174447"
243,81,3,13,"0.47","0.41","0.03","0.18","1.08","2025-05-04 16:28:08.174447"
245,82,12,2,"0.67","0.3","0","0.1","1.07","2025-05-04 16:28:08.174447"
246,83,15,7,"1.03","0.02","0","0","1.06","2025-05-04 16:28:08.174447"
242,84,17,8,"0.55","0.43","0","0.11","1.08","2025-05-04 16:28:08.174447"
247,85,4,20,"0.58","0.4","0","0.07","1.04","2025-05-04 16:28:08.174447"
248,86,13,15,"0.65","0.22","0.05","0.1","1.01","2025-05-04 16:28:08.174447"
244,87,3,13,"0.47","0.41","0.03","0.18","1.08","2025-05-04 16:28:08.174447"
207,88,12,2,"1.15","0.44","0","0.14","1.73","2025-05-04 16:28:08.174447"
