sale_id,game_id,platform_id,publisher_id,global_sales,,game_id,title,,,platform_id,platform,platform,,,publisher_id,publisher,publisher,,
209,39,2,14,1.65,,39,Ms. Pac-Man,Ms. Pac-Man,1,,,2600,2600,1,,,Atari,Atari,1
210,40,2,14,1.64,,40,Dig Dug,Dig Dug,1,,,2600,2600,1,,,Atari,Atari,1
211,41,3,5,1.55,,41,Star Wars: The Force Unleashed II,Star Wars: The Force Unleashed II,1,,,PS3,PS3,1,,,LucasArts,LucasArts,1
213,42,7,13,1.48,,42,Tom Clancy's Splinter Cell: Pandora Tomorrow,Tom Clancy's Splinter Cell: Pandora Tomorrow,1,,,XB,XB,1,,,Ubisoft,Ubisoft,1
215,43,10,3,1.48,,43,Dirge of Cerberus: Final Fantasy VII,Dirge of Cerberus: Final Fantasy VII,1,,,PS2,PS2,1,,,Square Enix,Square Enix,1
212,44,3,5,1.55,,44,Star Wars: The Force Unleashed II,Star Wars: The Force Unleashed II,1,,,PS3,PS3,1,,,LucasArts,LucasArts,1
216,45,3,9,1.47,,45,Metal Gear Rising: Revengeance,Metal Gear Rising: Revengeance,1,,,PS3,PS3,1,,,Konami Digital Entertainment,Konami Digital Entertainment,1
182,46,13,8,3.07,,46,Mass Effect 3,Mass Effect 3,1,,,X360,X360,1,,,Electronic Arts,Electronic Arts,1
217,47,10,6,1.45,,47,Onimusha 3: Demon Siege,Onimusha 3: Demon Siege,1,,,PS2,PS2,1,,,Capcom,Capcom,1
206,48,12,2,1.73,,48,Disney Infinity,Disney Infinity,1,,,Wii,Wii,1,,,Disney Interactive Studios,Disney Interactive Studios,1
218,49,3,3,1.39,,49,Deus Ex: Human Revolution,Deus Ex: Human Revolution,1,,,PS3,PS3,1,,,Square Enix,Square Enix,1
219,50,3,3,1.39,,50,Deus Ex: Human Revolution,Deus Ex: Human Revolution,1,,,PS3,PS3,1,,,Square Enix,Square Enix,1
220,51,12,11,1.36,,51,LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,1,,,Wii,Wii,1,,,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,1
167,52,10,7,4.7,,52,The Simpsons: Hit & Run,The Simpsons: Hit & Run,1,,,PS2,PS2,1,,,Vivendi Games,Vivendi Games,1
221,53,17,17,1.33,,53,Pokemon Ranger: Guardian Signs,Pokemon Ranger: Guardian Signs,1,,,DS,DS,1,,,Nintendo,Nintendo,1
222,54,3,21,1.32,,54,Dark Souls II,Dark Souls II,1,,,PS3,PS3,1,,,Namco Bandai Games,Namco Bandai Games,1
