"sale_id","game_id","title","platform_id","platform","publisher_id","publisher","na_sales","eu_sales","jp_sales","other_sales","global_sales","created_at"
212,44,"Star Wars: The Force Unleashed II",3,"PS3",5,"LucasArts","0.8","0.53","0","0.22","1.55","2025-05-04 16:28:08.174447"
216,45,"Metal Gear Rising: Revengeance",3,"PS3",9,"Konami Digital Entertainment","0.45","0.4","0.44","0.18","1.47","2025-05-04 16:28:08.174447"
182,46,"Mass Effect 3",13,"X360",8,"Electronic Arts","1.94","0.86","0.03","0.24","3.07","2025-05-04 16:28:08.174447"
217,47,"Onimusha 3: Demon Siege",10,"PS2",6,"Capcom","0.37","0.47","0.54","0.07","1.45","2025-05-04 16:28:08.174447"
206,48,"Disney Infinity",12,"Wii",2,"Disney Interactive Studios","1.15","0.44","0","0.14","1.73","2025-05-04 16:28:08.174447"
218,49,"Deus Ex: Human Revolution",3,"PS3",3,"Square Enix","0.5","0.6","0.07","0.23","1.39","2025-05-04 16:28:08.174447"
219,50,"Deus Ex: Human Revolution",3,"PS3",3,"Square Enix","0.5","0.6","0.07","0.23","1.39","2025-05-04 16:28:08.174447"
220,51,"LEGO Harry Potter: Years 5-7",12,"Wii",11,"Warner Bros. Interactive Entertainment","0.76","0.47","0","0.13","1.36","2025-05-04 16:28:08.174447"
167,52,"The Simpsons: Hit & Run",10,"PS2",7,"Vivendi Games","1.73","2.19","0","0.79","4.7","2025-05-04 16:28:08.174447"
221,53,"Pokemon Ranger: Guardian Signs",17,"DS",17,"Nintendo","0.51","0.17","0.58","0.06","1.33","2025-05-04 16:28:08.174447"
222,54,"Dark Souls II",3,"PS3",21,"Namco Bandai Games","0.4","0.36","0.4","0.17","1.32","2025-05-04 16:28:08.174447"
176,55,"LEGO Batman: The Videogame",13,"X360",11,"Warner Bros. Interactive Entertainment","2.03","1.03","0","0.32","3.38","2025-05-04 16:28:08.174447"
177,56,"LEGO Batman: The Videogame",13,"X360",11,"Warner Bros. Interactive Entertainment","2.03","1.03","0","0.32","3.38","2025-05-04 16:28:08.174447"
223,57,"EA Playground",12,"Wii",8,"Electronic Arts","0.69","0.48","0","0.13","1.3","2025-05-04 16:28:08.174447"
