"platform"
"PSP"
"2600"
"PS3"
"PS"
"PS4"
"GBA"
"XB"
"3DS"
"XOne"
"PS2"
"NES"
"Wii"
"X360"
"GC"
"PC"
"WiiU"
"DS"
